"PLAY..","DN","DIST","PLAY.TYPE","RESULT","GN.LS","ODK","YARD.LN","OFF.FORM","OFF.PLAY","DEF.FRONT","BLITZ","COVERAGE","QTR","H","PERSONNEL","MOTION","COMMENT","TITLE","CHECK","SITUATION","BACKFIELD","PROTECTION","ScoreAway","ScoreAway2.0","ScoreHome","ScoreHome2.0","Ball","drive","drive_length","drive_count","year","home_team","away_team","game_ID"
2,NA,NA,"KO Rec","Return",NA,"K",NA,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"",0,1,0,2024,"Dickinson","Macon","DickinsonMacon2024"
3,1,10,"Pass","Complete",-10,"O",27,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",1,1,1,2024,"Dickinson","Macon","DickinsonMacon2024"
4,1,10,"Run","Rush",0,"O",37,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,2,1,2024,"Dickinson","Macon","DickinsonMacon2024"
5,2,10,"Pass","Complete",-1,"O",37,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,3,1,2024,"Dickinson","Macon","DickinsonMacon2024"
6,3,9,"Pass","Complete",-35,"O",38,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,4,1,2024,"Dickinson","Macon","DickinsonMacon2024"
7,1,10,"Run","Rush",5,"O",-27,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,5,1,2024,"Dickinson","Macon","DickinsonMacon2024"
8,2,15,"Run","Rush",-4,"O",-32,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,6,1,2024,"Dickinson","Macon","DickinsonMacon2024"
9,3,11,"Pass","Sack",6,"O",-28,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,7,1,2024,"Dickinson","Macon","DickinsonMacon2024"
10,4,17,"Punt","Downed",NA,"K",-34,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,8,1,2024,"Dickinson","Macon","DickinsonMacon2024"
11,1,10,"Pass","Complete",7,"D",10,NA,NA,"BEAR","CRASH","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",1,1,2,2024,"Dickinson","Macon","DickinsonMacon2024"
12,2,3,"Run","Rush",-1,"D",17,NA,NA,"PACKER","SET","STRESS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,2,2,2024,"Dickinson","Macon","DickinsonMacon2024"
13,3,4,"Pass","Complete",14,"D",16,NA,NA,"PACKER","FLORIDA","BROWN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,3,2,2024,"Dickinson","Macon","DickinsonMacon2024"
14,1,10,"Run","Rush",2,"D",30,NA,NA,"PACKER","CHARGE","STRESS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,4,2,2024,"Dickinson","Macon","DickinsonMacon2024"
15,2,8,"Run","Rush",7,"D",32,NA,NA,"PACKER","CROSS","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,5,2,2024,"Dickinson","Macon","DickinsonMacon2024"
16,3,1,"Run","Rush",-7,"D",39,NA,NA,"BEAR","CRASH","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,6,2,2024,"Dickinson","Macon","DickinsonMacon2024"
17,4,8,"Punt Rec","Return",NA,"K",32,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,7,2,2024,"Dickinson","Macon","DickinsonMacon2024"
18,1,10,"Pass","Incomplete",0,"O",11,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",1,1,3,2024,"Dickinson","Macon","DickinsonMacon2024"
19,2,10,"Pass","Sack",8,"O",11,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,2,3,2024,"Dickinson","Macon","DickinsonMacon2024"
20,3,18,"Pass","Incomplete",0,"O",3,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,3,3,2024,"Dickinson","Macon","DickinsonMacon2024"
21,4,18,"Punt","Fair Catch",NA,"K",3,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,4,3,2024,"Dickinson","Macon","DickinsonMacon2024"
22,1,10,"Run","Penalty",-5,"D",-45,NA,NA,"BEAR","","STRESS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",1,1,4,2024,"Dickinson","Macon","DickinsonMacon2024"
23,2,15,"Run","Rush",5,"D",-50,NA,NA,"BEAR","","CAPTAIN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,2,4,2024,"Dickinson","Macon","DickinsonMacon2024"
24,2,10,"Pass","Complete",8,"D",-45,NA,NA,"BEAR","","CAPTAIN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,3,4,2024,"Dickinson","Macon","DickinsonMacon2024"
25,3,2,"Run","Rush",3,"D",-37,NA,NA,"BEAR","","STRESS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,4,4,2024,"Dickinson","Macon","DickinsonMacon2024"
26,1,10,"Pass","Complete",-1,"D",-34,NA,NA,"PACKER","FLORIDA","BROWN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,5,4,2024,"Dickinson","Macon","DickinsonMacon2024"
27,2,11,"Pass","Complete",2,"D",-35,NA,NA,"PACKER","CROSS","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,6,4,2024,"Dickinson","Macon","DickinsonMacon2024"
28,3,9,"Pass","Incomplete",0,"D",-33,NA,NA,"OVER","","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,7,4,2024,"Dickinson","Macon","DickinsonMacon2024"
29,4,9,"Pass","Sack",-9,"D",-33,NA,NA,"OVER","","GREEN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Away",0,8,4,2024,"Dickinson","Macon","DickinsonMacon2024"
30,1,10,"Run","Rush",-7,"O",42,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",1,1,5,2024,"Dickinson","Macon","DickinsonMacon2024"
31,2,3,"Pass","Complete",-5,"O",49,NA,NA,"","","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,2,5,2024,"Dickinson","Macon","DickinsonMacon2024"
32,1,10,"Run","Rush",-11,"O",-46,NA,NA,"","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,3,5,2024,"Dickinson","Macon","DickinsonMacon2024"
33,1,10,"Pass","Complete",-22,"O",-35,NA,NA,"","","",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Home",0,4,5,2024,"Dickinson","Macon","DickinsonMacon2024"
